otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
ISO1624,ISO1624,UFAM,LEGAL,MaterialSample,Other material,Acnodon normani Gosline 1951,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,normani,species,NA,"Andrade, M.",-3.36778,-51.9997,Brazil,Pará,Xingu,NA,"Brasil, Pará, Altamira, Rio Xingu, Pedral do Reboque Velho","Andrade, M.C.",MG751915
ISO1625,ISO1625,UFAM,LEGAL,MaterialSample,Other material,Acnodon normani Gosline 1951,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,normani,species,NA,"Andrade, M.",-3.36778,-51.9997,Brazil,Pará,Xingu,NA,"Brasil, Pará, Altamira, Rio Xingu, Pedral do Reboque Velho","Andrade, M.C.",MG751916
JAR154,JAR154,UFAM,LEGAL,MaterialSample,Other material,Acnodon senai Jégu & Santos 1990,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,senai,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG751917
JAR452,JAR452,UFAM,LEGAL,MaterialSample,Other material,Acnodon senai Jégu & Santos 1990,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Acnodon,senai,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG751918
JAR223,JAR223,UFAM,LEGAL,MaterialSample,Other material,"Mylesinus paraschomburgkii Jégu, Santos & Ferreira 1989",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paraschomburgkii,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752112
JAR224,JAR224,UFAM,LEGAL,MaterialSample,Other material,"Mylesinus paraschomburgkii Jégu, Santos & Ferreira 1989",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paraschomburgkii,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752113
3128,3128,UFAM,CTGA,MaterialSample,Other material,Mylesinus paucisquamatus Jégu & Santos 1988,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752127
3129,3129,UFAM,CTGA,MaterialSample,Other material,Mylesinus paucisquamatus Jégu & Santos 1988,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752128
3130,3130,UFAM,CTGA,MaterialSample,Other material,Mylesinus paucisquamatus Jégu & Santos 1988,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,paucisquamatus,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,MG752129
Mylenha,Mylenha,UFAM,LEGAL,MaterialSample,Other material,Mylesinus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Mylesinus,NA,genus,aff. paraschomburgkii,"Machado, V.",-1.3702666667,-57.97528,Brazil,Amazonas,Nhamundá,2015-03-25,Com. Indígena Riozinho - rio Nhamundá,Valeria Machado,MG752111
1728,1728,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-15,"Boca do Irirí, Rio Iriri na confluência com Rio Xingu",Valeria Machado,MG752137
1830,1830,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Fernández, H. | Ortí, G.",-3.81421,-52.63687,Brazil,Pará,Xingu,2008-08-19,"Ilha do Curapé, rio Iriri",Valeria Machado,MG752138
2039,2039,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Fernández, H. | Ortí, G.",-4.17405,-53.41331,Brazil,Pará,Xingu,2008-08-22,"rio Iriri, 4 horas abaixo da boca do rio Novo",Valeria Machado,MG752139
2818,2818,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-6.14894,-48.36074,Brazil,Para,Araguaia,2009-09-10,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,MG752140
3087,3087,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.46001,-48.34394,Brazil,Tocantins,Araguaia,2009-09-14,r. Araguaia /Jusante de AHE-SI/Araguatins/TO,Natasha Verdasca,MG752141
4570,4570,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.32363,-47.86833,Brazil,Tocantins,Tocantins,2009-12-18,Pe. São S. do Tocantins,Natasha Verdasca,MG752142
4867,4867,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.36263,-48.77338,Brazil,Para,Araguaia,2009-12-21,r. Araguaia prox do encontro com o r. Tocantins,Natasha Verdasca,MG752143
4868,4868,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Zuanon, J.",-5.36263,-48.77338,Brazil,Para,Araguaia,2009-12-21,r. Araguaia prox do encontro com o r. Tocantins,Natasha Verdasca,MG752144
5478,5478,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752145
5479,5479,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752146
5480,5480,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-21,Rio Xingu,Valeria Machado,MG752147
14068,14068,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752150
14069,14069,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752151
14074,14074,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752154
14955,14955,UFAM,CTGA,MaterialSample,Other material,Myleus setiger Müller & Troschel 1844,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752155
