otherCatalogNumbers,CatalogNumbers,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,macroRegion,eventDate,locality,recordedBy,associatedSequences
CTGAH4500,CTGAH4500,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus 1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4500
CTGAH3996,CTGAH3996,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3996
CTGAH4244,CTGAH4244,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4244
CTGAH4245,CTGAH4245,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4245
CTGAH4014,CTGAH4014,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH4014
CTGAH4012,CTGAH4012,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH4012
CTGAH4011,CTGAH4011,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH4011
CTGAH777,CTGAH777,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH777
CTGAH787,CTGAH787,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH787
CTGAH801,CTGAH801,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH801
CTGAH807,CTGAH807,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH807
CTGAH808,CTGAH808,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH808
CTGAH817,CTGAH817,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH817
CTGAH819,CTGAH819,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH819
CTGAH841,CTGAH841,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH841
CTGAH4013,CTGAH4013,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,Upper Branco River,NA,NA,NA,CTGAH4013
CTGAH4501,CTGAH4501,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,southwestern Amazon,NA,NA,NA,CTGAH4501
CTGAH4502,CTGAH4502,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,southwestern Amazon,NA,NA,NA,CTGAH4502
CTGAH4503,CTGAH4503,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,southwestern Amazon,NA,NA,NA,CTGAH4503
CTGAH4504,CTGAH4504,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Brazil,NA,southwestern Amazon,NA,NA,NA,CTGAH4504
CTGAH4505,CTGAH4505,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,CTGAH4505
CTGAH4246,CTGAH4246,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4246
CTGAH4247,CTGAH4247,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4247
CTGAH3236,CTGAH3236,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3236
CTGAH3238,CTGAH3238,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3238
CTGAH4344,CTGAH4344,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4344
CTGAH4506,CTGAH4506,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4506
CTGAH3491,CTGAH3491,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3491
CTGAH3494,CTGAH3494,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3494
CTGAH3495,CTGAH3495,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3495
CTGAH3527,CTGAH3527,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3527
CTGAH3531,CTGAH3531,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3531
