Taxon	Lenght_of_cranium	Condylobasal_Lenght	Zygomatic_breadth	Orbital_breadth	Braincase_length	Braincase_width	Across_Molars	Lenght_of_mandible	Height_of_articular_process	Dental_Field_(P²-M²)	Across_canines
S._mystax	52.8	40.77	35.2	28.37	45.56	29.23	17.6	33.53	19.29	11.25	10.34
S._mystax	52.42	41.44	36.33	30.5	46.25	29.33	17.61	34.47	20.37	11.46	10.14
S._mystax	52.3	41.14	35.82	29.13	46.16	29.71	17.32	33.48	21	11.74	10.28
S._mystax	50.42	39.28	34.89	28.88	45.28	28.73	17.06	32.38	20.03	11.23	9.35
S._mystax	51.99	40.81	35.45	29.16	45.09	29.26	17.43	33.16	20.86	11.82	10.28
L._fusciccollis	47.43	38.71	31.6	25.86	41.44	25.23	16.09	30.73	18.15	9.81	9.2
L._fusciccollis	47.1	38.17	30.74	25.88	42.26	25.98	15.52	30.1	18.92	10.18	8.23
L._fusciccollis	46.47	36.49	29.22	24.86	41.91	24.7	14.81	27.44	17.35	10	7.95
L._fusciccollis	46.48	36.23	29.84	24.54	41.79	26.44	16.21	29.49	17.15	10.8	8.48
L._fusciccollis	47.97	38.98	30.88	25.29	42.59	25.61	15.93	29.46	17.17	10.2	8.42
C._penicillata	43.47	34.33	29.82	24.77	38.33	25.26	14.38	27.13	15.16	9.68	5.49
C._penicillata	44.91	35.81	29.51	24.8	39.05	24.49	14.69	27.78	15.21	9.96	6.06
C._jacchus	44.86	36.66	30.23	25.14	38.8	24.89	14.67	29.26	17.58	10.1	6.15
C._jacchus	42.23	33.45	28.49	24.67	35.53	22.78	14.79	27.3	15.5	10.07	6.25
C._jacchus	43.73	34.84	28.64	24.15	38.76	24.86	14.26	28.86	15.65	9.94	5.95
Cebuella	34.04	26.88	25.54	22.24	32.61	21.76	11.97	20.8	11	7.3	4.94
Cebuella	34.62	27.47	23.15	21.44	31.53	21.58	12.13	18.92	10.44	7.13	4.85
Cebuella	34.55	27.66	22.58	21.09	32.08	21.9	11.23	20.63	9.89	6.71	5.05
Cebuella	34.08	27.27	22.19	20.77	30.43	20.58	11.19	18.64	9.58	7.59	4.4
Cebuella	36.43	29.87	22.84	20.96	32.2	21.21	10.97	20.41	10.24	7.99	4.57
